gene_id	gene_name	Control1	Control2	Control4	Control5	Treated1	Treated2	Treated4	Treated5
ENSG00000204347	BTBD17	0	0	0	0	0	0	0	0
ENSG00000204348	DXO	382	545	263	392	471	413	266	483
ENSG00000204351	SKIC2	1462	1132	1875	1515	1659	1254	1808	1518
ENSG00000204352	FAM120A2P	0	10	0	6	4	0	1	5
ENSG00000204356	NELFE	1175	1337	1339	1340	1580	1331	1237	1354
ENSG00000204361	NXPE2	1	0	3	0	2	2	3	0
ENSG00000204362	LINC02783	0	0	3	5	1	0	10	4
ENSG00000204363	SPANXN5	0	0	0	0	0	0	0	0
ENSG00000204366	ZBTB12	250	224	82	75	111	104	70	61
ENSG00000204368	SSX20P	0	0	0	0	0	0	0	0
ENSG00000204370	SDHD	1162	1207	1086	1255	1334	974	1001	1045
ENSG00000204371	EHMT2	2068	2550	1648	1834	1797	2010	1453	1438
ENSG00000204379	XAGE1A	0	0	0	0	0	0	0	0
ENSG00000204380	PKP4-AS1	3	6	1	1	0	0	0	0
ENSG00000204381	LAYN	815	937	2637	2933	2217	952	2841	1439
ENSG00000204382	XAGE1B	0	0	0	0	0	0	0	0
ENSG00000204385	SLC44A4	27	6	17	13	10	7	7	2
ENSG00000204386	NEU1	4153	1832	3641	4163	5322	2088	4092	4653
ENSG00000204387	SNHG32	5018	5153	3251	4796	5008	3496	3384	5891
ENSG00000204388	HSPA1B	7014	6961	1768	2146	3407	3509	2448	1796
ENSG00000204389	HSPA1A	5757	6944	1341	2337	3873	3958	1671	2483
ENSG00000204390	HSPA1L	42	84	32	23	22	42	34	39
ENSG00000204392	LSM2	275	326	266	288	328	272	209	239
ENSG00000204393	NOL4L-DT	0	0	0	0	0	0	0	0
ENSG00000204394	VARS1	2003	2882	3463	3520	3825	2475	3123	3246
ENSG00000204396	VWA7	56	68	13	14	5	46	13	8
ENSG00000204397	CARD16	97	0	75	5	2	1	28	0
ENSG00000204399	ENSG00000204399	0	0	0	0	0	0	0	0
ENSG00000204403	CASP12	1	3	1	2	0	0	0	0
ENSG00000204406	MBD5	344	401	269	258	281	340	306	341
ENSG00000204410	MSH5	68	103	99	106	85	114	89	84
ENSG00000204414	CSHL1	0	0	0	0	0	0	0	0
ENSG00000204420	MPIG6B	3	0	0	1	0	0	0	0
ENSG00000204421	LY6G6C	0	0	0	1	0	0	0	0
ENSG00000204422	ENSG00000204422	0	0	0	0	0	0	0	0
ENSG00000204424	LY6G6F	2	0	0	0	0	0	0	0
ENSG00000204427	ABHD16A	787	1056	1037	1087	1410	1096	1081	1289
ENSG00000204428	LY6G5C	29	66	20	34	25	41	21	45
ENSG00000204429	ENSG00000204429	0	0	0	0	0	0	0	0
ENSG00000204434	POTEKP	0	0	0	0	0	0	0	0
ENSG00000204435	CSNK2B	1667	1525	1754	1510	2134	1253	1817	1696
ENSG00000204437	CTSLP6	0	0	0	0	0	0	0	0
ENSG00000204438	GPANK1	382	500	222	274	385	338	266	315
ENSG00000204439	C6orf47	448	708	287	404	365	483	339	441
ENSG00000204442	NALF1	389	106	580	345	504	90	723	689
ENSG00000204444	APOM	24	20	11	13	19	15	6	18
ENSG00000204446	LINC02872	7	4	6	8	10	4	4	11
ENSG00000204449	TRIM49C	0	0	0	0	0	0	0	0
ENSG00000204450	TRIM64	0	0	0	0	0	0	0	0
ENSG00000204455	TRIM51BP	0	0	0	0	0	0	0	0
ENSG00000204456	ENSG00000204456	0	0	1	0	0	0	0	0
ENSG00000204460	LINC01854	0	0	0	0	0	0	0	0
ENSG00000204463	BAG6	5202	6186	5199	5330	4707	4703	4046	4845
ENSG00000204464	TMEM51-AS2	0	0	0	0	2	0	0	0
ENSG00000204469	PRRC2A	6008	7899	6433	7520	6815	6031	5885	6059
ENSG00000204471	TBC1D3P4	0	0	0	0	0	0	0	0
ENSG00000204472	AIF1	0	0	0	1	0	0	0	0
ENSG00000204475	NCR3	0	0	0	0	0	0	2	0
ENSG00000204478	PRAMEF20	0	0	0	0	0	0	0	0
ENSG00000204479	PRAMEF17	0	0	0	0	0	0	0	0
ENSG00000204480	PRAMEF19	0	0	0	0	0	0	0	0
ENSG00000204481	PRAMEF14	0	0	0	0	0	0	0	0
ENSG00000204482	LST1	0	0	0	0	0	2	4	5
ENSG00000204498	NFKBIL1	505	748	329	482	474	432	386	467
ENSG00000204501	PRAMEF15	0	0	0	0	0	0	0	0
ENSG00000204505	PRAMEF9	0	0	0	0	0	0	0	0
ENSG00000204510	PRAMEF7	0	0	0	0	0	0	0	0
ENSG00000204511	MCCD1	0	0	0	0	0	0	0	0
ENSG00000204514	ZNF814	177	161	179	224	297	157	174	264
ENSG00000204516	MICB	205	92	166	174	341	93	183	277
ENSG00000204518	AADACL4	0	0	0	0	0	0	0	0
ENSG00000204519	ZNF551	100	127	59	79	123	74	69	76
ENSG00000204520	MICA	1801	663	2175	3394	4640	1091	3143	3830
ENSG00000204524	ZNF805	159	139	111	82	154	133	65	114
ENSG00000204525	HLA-C	18637	26607	6587	24042	16199	27073	5935	14286
ENSG00000204528	PSORS1C3	0	0	0	0	0	0	0	0
ENSG00000204529	GUCY2EP	0	0	0	0	0	0	0	0
ENSG00000204531	POU5F1	0	4	0	1	3	3	2	1
ENSG00000204532	ZSCAN5C	0	0	0	0	0	0	0	0
ENSG00000204536	CCHCR1	360	557	321	452	309	486	263	336
ENSG00000204538	PSORS1C2	1	1	0	0	0	2	0	3
ENSG00000204539	CDSN	0	0	0	0	0	7	1	0
ENSG00000204540	PSORS1C1	15	146	12	74	8	68	13	33
ENSG00000204542	C6orf15	0	0	0	0	0	0	0	0
ENSG00000204544	MUC21	0	0	0	0	0	0	0	0
ENSG00000204547	DEFB122	0	0	0	0	0	0	0	0
ENSG00000204548	DEFB121	0	0	0	0	0	0	0	0
ENSG00000204555	CFTRP3	0	0	0	0	0	0	0	0
ENSG00000204556	ENSG00000204556	0	0	0	0	0	0	0	0
ENSG00000204560	DHX16	804	954	1032	1056	974	725	1024	1050
ENSG00000204564	C6orf136	191	343	202	311	236	211	269	194
ENSG00000204568	MRPS18B	1008	1341	766	981	931	748	603	734
ENSG00000204569	PPP1R10	1433	1430	1293	1097	1369	989	1177	1209
ENSG00000204571	KRTAP5-11	0	0	0	0	0	0	0	0
ENSG00000204572	KRTAP5-10	0	0	0	0	0	0	0	1
ENSG00000204574	ABCF1	1964	1876	2135	2368	2618	1633	2089	2062
ENSG00000204576	PRR3	121	91	82	63	96	92	89	80
ENSG00000204577	LILRB3	0	2	0	2	0	3	0	4
ENSG00000204580	DDR1	4475	8292	1852	3982	4075	7667	2222	5627
ENSG00000204581	ACOXL-AS1	6	3	0	5	1	11	1	1
ENSG00000204583	LRCOL1	5	1	3	3	0	0	3	1
ENSG00000204584	ENSG00000204584	2	0	4	0	0	0	0	3
ENSG00000204588	LINC01123	29	0	8	18	37	20	28	26
ENSG00000204590	GNL1	2049	2299	1701	1457	1537	1681	1527	1364
ENSG00000204592	HLA-E	5988	13680	7618	9231	6716	12224	6828	5864
ENSG00000204595	DPRX	0	0	0	0	0	0	0	0
ENSG00000204599	TRIM39	288	366	218	341	307	295	310	426
ENSG00000204603	LINC01257	0	0	0	0	0	0	0	0
ENSG00000204604	ZNF468	141	171	132	327	292	133	198	248
ENSG00000204610	TRIM15	0	0	1	0	0	0	0	0
ENSG00000204611	ZNF616	211	176	152	163	187	103	196	164
ENSG00000204612	FOXB2	0	0	0	0	0	0	0	0
ENSG00000204613	TRIM10	0	0	0	0	0	0	0	0
ENSG00000204614	TRIM40	0	0	0	0	0	0	0	0
ENSG00000204616	TRIM31	0	0	0	2	1	0	0	0
ENSG00000204618	RNF39	16	10	9	15	10	7	6	17
ENSG00000204619	PPP1R11	946	1384	900	1060	1261	1154	1008	1075
ENSG00000204620	ENSG00000204620	7	19	6	9	5	1	7	14
ENSG00000204622	HLA-J	0	0	0	0	0	0	0	0
ENSG00000204623	POLR1HASP	0	0	0	0	0	0	0	0
ENSG00000204624	DISP3	2	0	5	1	1	2	1	1
ENSG00000204625	HCG9	5	9	2	7	11	5	0	7
ENSG00000204628	RACK1	18162	21009	16610	15105	17053	14258	12569	16612
ENSG00000204632	HLA-G	2	1	1	0	3	0	1	1
ENSG00000204634	TBC1D8	292	166	128	148	68	60	127	35
ENSG00000204637	ARPP19P2	0	0	0	0	0	0	0	0
ENSG00000204640	NMS	0	0	0	0	0	0	0	0
ENSG00000204642	HLA-F	135	308	48	588	158	389	63	342
ENSG00000204644	ZFP57	0	0	0	1	0	0	0	0
ENSG00000204648	SSX9P	0	0	0	0	0	0	0	0
ENSG00000204650	LINC02210	0	0	0	0	0	0	0	0
ENSG00000204652	RPS26P8	0	0	0	0	0	0	0	0
ENSG00000204653	ASPDH	3	2	0	1	3	2	2	0
ENSG00000204655	MOG	0	0	0	0	0	0	0	0
ENSG00000204657	OR2H2	1	0	1	1	1	0	0	2
ENSG00000204658	CST9LP2	0	0	0	0	0	0	0	0
ENSG00000204659	CBY3	4	5	4	11	7	1	7	4
ENSG00000204661	SPATA31J1	0	0	0	0	0	0	0	1
ENSG00000204662	CST9LP1	0	0	0	0	0	0	0	0
ENSG00000204663	CST13P	0	0	0	0	0	0	0	0
ENSG00000204666	ZNF473CR	2	3	2	0	0	3	0	5
ENSG00000204669	C9orf57	0	0	0	0	0	0	0	0
ENSG00000204670	IGKV1OR2-3	0	0	0	0	0	0	0	0
ENSG00000204671	IL31	0	0	0	0	0	0	0	0
ENSG00000204673	AKT1S1	2963	2143	2477	2876	3716	1899	3450	3316
ENSG00000204677	FAM153CP	1	1	4	1	4	0	4	2
ENSG00000204681	GABBR1	531	445	402	354	460	591	552	583
ENSG00000204682	MIR1915HG	56	158	90	87	68	95	101	58
ENSG00000204684	ENSG00000204684	0	0	0	0	0	0	0	0
ENSG00000204685	STARD7-AS1	77	112	74	94	102	104	85	126
ENSG00000204687	MAS1L	0	0	0	0	0	0	0	0
ENSG00000204688	OR2H1	0	0	0	0	0	0	1	0
ENSG00000204694	OR11A1	0	0	0	0	0	0	0	0
ENSG00000204695	OR14J1	0	0	0	0	0	0	0	0
ENSG00000204697	OR2U1P	0	0	0	0	0	0	0	0
ENSG00000204699	UBTFL3	0	0	0	0	0	0	0	0
ENSG00000204700	OR2J2	0	0	0	0	0	0	0	0
ENSG00000204701	OR2J3	0	0	0	0	0	0	0	0
ENSG00000204702	OR2J1	0	0	0	0	0	0	0	0
ENSG00000204703	OR2B3	0	0	0	0	0	0	0	0
ENSG00000204704	OR2W1	0	0	0	0	0	0	0	0
ENSG00000204705	UBTFL5	0	0	0	0	0	0	0	0
ENSG00000204706	MAMDC2-AS1	8	12	16	15	14	6	15	37
ENSG00000204709	LINC01556	1	0	0	0	0	0	0	0
ENSG00000204710	SPDYC	1	0	0	0	0	0	0	0
ENSG00000204711	CFAP95	0	0	0	0	0	0	1	0
ENSG00000204713	TRIM27	1163	1362	1106	1060	1514	881	1145	1274
ENSG00000204718	CNN2P12	0	0	0	0	0	0	0	0
ENSG00000204740	MALRD1	1	5	0	0	1	4	0	0
ENSG00000204745	ENSG00000204745	43	49	73	37	47	45	36	49
ENSG00000204754	LINC01951	0	0	0	0	0	0	0	0
ENSG00000204758	RPL26L1-AS1	16	46	17	69	45	26	20	56
ENSG00000204764	RANBP17	53	41	106	78	52	57	77	83
ENSG00000204767	INSYN2B	98	56	20	13	229	40	20	39
ENSG00000204776	IGKV1OR-3	0	0	0	0	0	0	0	0
ENSG00000204778	ZNG1DP	0	7	0	0	3	0	0	0
ENSG00000204779	FOXD4L5	0	3	0	1	0	0	0	3
ENSG00000204780	IGKV1OR9-1	0	0	0	0	0	0	0	0
ENSG00000204787	REG1CP	0	0	0	0	0	0	0	0
ENSG00000204789	ZNF204P	0	11	1	0	0	0	0	0
ENSG00000204790	ENSG00000204790	0	0	0	0	0	0	0	0
ENSG00000204791	SMPD5	0	0	0	5	0	0	0	0
ENSG00000204792	LINC01291	12	0	1	39	44	0	2	41
ENSG00000204801	FGF7P7	0	0	0	0	0	0	0	0
ENSG00000204802	FAM88C	42	16	13	14	35	42	30	35
ENSG00000204814	ENSG00000204814	0	0	0	0	0	0	0	0
ENSG00000204815	ODAD4	36	53	14	19	24	52	7	24
ENSG00000204816	FGF7P5	0	3	0	0	0	0	0	3
ENSG00000204818	ADGRF5P2	0	0	0	0	0	0	0	0
ENSG00000204822	MRPL53	606	711	656	721	775	595	523	755
ENSG00000204832	ST8SIA6-AS1	0	0	0	0	0	0	0	0
ENSG00000204837	FGF7P3	0	0	0	0	0	0	0	0
ENSG00000204839	MROH6	128	171	14	20	40	67	42	32
ENSG00000204842	ATXN2	824	1283	1202	1227	1341	895	1087	1242
ENSG00000204843	DCTN1	7174	11459	9373	12943	11563	10333	8370	14882
ENSG00000204849	SPATA31A1	0	0	0	0	0	0	0	0
ENSG00000204850	ENSG00000204850	11	1	2	1	3	3	3	0
ENSG00000204851	PNMA8B	169	110	32	35	50	62	26	26
ENSG00000204852	TCTN1	804	1622	624	770	716	1264	542	849
ENSG00000204856	FAM216A	147	177	147	240	254	112	128	235
ENSG00000204859	ZBTB48	247	248	255	244	299	204	258	303
ENSG00000204860	FAM201A	9	121	0	21	22	74	0	26
ENSG00000204866	IGFL2	0	0	0	0	0	0	0	0
ENSG00000204869	IGFL4	3	1	1	0	0	0	2	0
ENSG00000204872	NAT8B	0	0	0	0	0	0	0	0
ENSG00000204873	KRTAP9-3	0	0	0	0	0	0	0	0
ENSG00000204876	ENSG00000204876	0	0	0	0	0	0	0	0
ENSG00000204880	KRTAP4-8	0	0	1	0	0	0	0	0
ENSG00000204882	GPR20	10	0	4	4	0	5	0	0
ENSG00000204887	KRTAP1-4	0	0	0	0	0	0	0	0
ENSG00000204889	KRT40	0	2	0	0	0	1	0	0
ENSG00000204894	ENSG00000204894	0	0	0	0	0	0	0	0
ENSG00000204897	KRT25	0	0	0	0	0	0	1	0
ENSG00000204899	MZT1	190	260	413	445	471	265	388	376
ENSG00000204904	LINC01545	1	0	1	1	2	3	0	2
ENSG00000204909	SPINK9	5	0	0	0	0	0	0	0
ENSG00000204913	LRRC3C	0	1	0	0	0	0	0	0
ENSG00000204918	PRR20B	0	0	0	0	0	0	0	0
ENSG00000204919	PRR20A	0	0	0	0	0	0	0	0
ENSG00000204920	ZNF155	79	123	77	43	95	86	83	88
ENSG00000204922	UQCC3	522	477	315	382	568	392	349	486
ENSG00000204923	FBXO48	15	36	34	41	30	14	21	23
ENSG00000204928	GRXCR2	0	0	0	1	0	0	0	0
ENSG00000204929	LINC02934	2	2	18	9	9	1	9	10
ENSG00000204930	FAM221B	0	0	0	0	0	0	0	0
ENSG00000204933	CD177P1	0	0	0	0	0	0	0	0
ENSG00000204934	ATP6V0E2-AS1	81	82	69	104	68	45	38	98
ENSG00000204936	CD177	14	523	1	51	37	231	14	56
ENSG00000204941	PSG5	53	74	16	205	566	133	4	486
ENSG00000204946	ZNF783	219	238	184	102	156	204	190	179
ENSG00000204947	ZNF425	194	168	82	123	164	108	81	143
ENSG00000204949	FAM83A-AS1	0	0	0	0	0	0	0	0
ENSG00000204950	LRRC10B	3	0	0	0	1	0	2	0
ENSG00000204952	FBXO47	0	0	0	0	0	0	0	0
ENSG00000204954	UQCC6	100	120	114	167	172	103	134	284
ENSG00000204956	PCDHGA1	17	45	68	48	29	60	47	44
ENSG00000204959	ARHGEF34P	75	86	87	225	79	40	57	199
ENSG00000204960	BLACE	0	0	0	0	0	0	0	0
ENSG00000204961	PCDHA9	0	2	0	1	0	0	0	0
ENSG00000204962	PCDHA8	3	2	3	0	0	2	4	0
ENSG00000204963	PCDHA7	3	2	5	4	6	4	15	17
ENSG00000204965	PCDHA5	0	0	0	2	0	1	0	0
ENSG00000204967	PCDHA4	7	282	10	5	12	249	15	4
ENSG00000204969	PCDHA2	8	16	0	2	39	18	4	4
ENSG00000204970	PCDHA1	4	9	0	7	5	20	8	2
ENSG00000204971	ENSG00000204971	0	0	0	0	0	0	0	0
ENSG00000204977	TRIM13	474	766	353	381	532	483	340	599
ENSG00000204978	ERICH4	0	0	0	0	0	0	0	0
ENSG00000204979	MS4A13	0	0	0	0	0	0	0	0
ENSG00000204982	PRSS3P4	0	0	0	0	0	0	0	0
ENSG00000204983	PRSS1	0	0	0	0	0	0	0	0
ENSG00000204989	OR4D8P	0	0	0	0	0	0	0	0
ENSG00000204990	ENSG00000204990	0	0	0	0	0	0	0	0
ENSG00000204991	SPIRE2	179	317	161	204	88	226	103	156
ENSG00000204993	CRTC1P1	0	0	0	0	0	0	0	0
ENSG00000205002	AARD	16	3	11	3	0	0	11	3
ENSG00000205015	LINC02138	0	0	0	0	0	0	0	0
ENSG00000205018	ENSG00000205018	0	0	0	0	0	0	0	0
ENSG00000205022	PABPN1L	0	0	0	0	0	0	0	0
ENSG00000205025	OR5G5P	0	0	0	0	0	0	0	0
ENSG00000205029	OR5D16	0	0	0	0	0	0	0	0
ENSG00000205030	OR5L2	0	0	0	0	0	0	0	0
ENSG00000205035	GRM5P1	0	0	0	0	0	0	0	0
ENSG00000205037	ENSG00000205037	7	3	0	2	0	6	2	2
ENSG00000205038	PKHD1L1	4	18	8	12	1	14	7	1
ENSG00000205041	ENSG00000205041	7	1	4	0	0	3	5	0
ENSG00000205044	ENSG00000205044	0	0	0	0	0	0	0	0
ENSG00000205045	SLFN12L	0	0	1	0	0	0	0	6
ENSG00000205054	LINC01121	1	1	3	2	3	3	1	0
ENSG00000205056	LINC02397	0	0	0	0	0	1	0	0
ENSG00000205057	CLLU1-AS1	0	0	0	0	0	2	0	0
ENSG00000205060	SLC35B4	544	713	779	749	802	449	851	842
ENSG00000205076	LGALS7	0	0	0	0	0	0	0	0
ENSG00000205078	SYCE1L	45	38	9	21	10	32	5	25
ENSG00000205084	TMEM231	328	428	513	446	523	347	462	487
ENSG00000205085	GARIN1A	47	45	56	48	25	45	59	56
ENSG00000205086	LINC02898	0	0	0	0	0	0	0	0
ENSG00000205089	CCNI2	0	28	3	16	15	18	2	12
ENSG00000205090	TMEM240	118	160	63	49	44	136	46	55
ENSG00000205097	FRG2	0	0	0	0	0	0	0	0
ENSG00000205100	HSP90AA4P	0	0	0	0	0	0	0	0
ENSG00000205105	COX17P1	0	0	0	2	0	0	0	0
ENSG00000205106	LINC02716	16	46	8	36	27	44	20	36
ENSG00000205108	SPATA31F1	2	1	7	2	2	0	4	8
ENSG00000205111	CDKL4	2	0	2	0	0	1	1	3
ENSG00000205116	TMEM88B	0	0	0	0	0	0	0	0
ENSG00000205126	ACCSL	0	0	0	0	0	0	0	0
ENSG00000205129	CFAP96	5	5	4	7	23	11	11	14
ENSG00000205133	TRIQK	438	510	361	427	394	419	310	426
ENSG00000205138	SDHAF1	275	290	237	222	274	258	231	283
ENSG00000205143	ARID3C	1	2	0	2	1	3	1	3
ENSG00000205155	PSENEN	655	795	937	766	1156	752	945	949
ENSG00000205174	LINC02903	0	0	0	0	0	0	0	0
ENSG00000205176	REXO1L1P	0	0	0	0	0	0	0	0
ENSG00000205177	C11orf91	3	0	1	0	6	0	6	6
ENSG00000205181	LINC00654	122	280	226	195	99	229	162	154
ENSG00000205184	SLC10A5P1	0	0	0	0	0	0	0	0
ENSG00000205186	FABP9	0	0	0	0	0	0	0	0
ENSG00000205189	ZBTB10	176	362	137	175	153	233	86	138
ENSG00000205208	C4orf46	137	174	173	155	171	131	123	77
ENSG00000205209	SCGB2B2	5	13	4	11	6	5	8	15
ENSG00000205212	CCDC144NL	0	0	0	0	0	0	0	0
ENSG00000205213	LGR4	428	367	371	276	916	450	652	578
ENSG00000205215	KRT17P7	0	0	0	0	0	0	0	0
ENSG00000205220	PSMB10	485	643	439	466	433	419	379	328
ENSG00000205221	VIT	106	0	2	9	29	1	1	28
ENSG00000205231	TTLL10-AS1	0	0	0	0	0	0	0	0
ENSG00000205236	ENSG00000205236	45	33	39	69	19	47	90	45
ENSG00000205238	SPDYE2	0	14	12	16	0	13	10	20
ENSG00000205240	OR7E36P	0	0	0	0	0	0	0	0
ENSG00000205250	E2F4	875	930	965	827	936	692	924	848
ENSG00000205266	KRT17P5	0	0	0	0	0	0	0	0
